exercise,variant,source_video,source_frame,left_arm_raise_bad,right_arm_raise_bad,left_elbow_angle_bad,right_elbow_angle_bad,torso_lean_bad,arm_symmetry_bad,left_wrist_above_shoulder_bad,right_wrist_above_shoulder_bad,left_arm_raise_good,right_arm_raise_good,left_elbow_angle_good,right_elbow_angle_good,torso_lean_good,arm_symmetry_good,left_wrist_above_shoulder_good,right_wrist_above_shoulder_good
lateral raise,torso_swinging,lateral raise_036.mp4,18,53.50418228166701,52.76485111076546,94.21010421299556,142.3277238138304,7.955872655366979,5.209813601381397,-0.2230832292825793,-0.26997561212211313,41.1348781129429,35.922600494436686,96.0437579006323,142.57601817437595,6.010687104090118,5.212277618506214,-0.2250461280345916,-0.2653296887874603
lateral raise,asymmetric_raise,lateral raise_036.mp4,18,56.53403717402142,25.125017986151313,96.08820155385627,141.72043234716926,6.008028017039027,24.624900109649463,-0.22393573352676788,-0.2691695712971757,41.1348781129429,35.922600494436686,96.0437579006323,142.57601817437595,6.010687104090118,5.212277618506214,-0.2250461280345916,-0.2653296887874603
lateral raise,elbows_too_bent,lateral raise_036.mp4,18,41.13559043595483,35.92242723351555,77.38715055565774,111.52856269133163,6.008061489834468,5.22184147486301,-0.23517972611324206,-0.2597325707296511,41.1348781129429,35.922600494436686,96.0437579006323,142.57601817437595,6.010687104090118,5.212277618506214,-0.2250461280345916,-0.2653296887874603
lateral raise,arms_too_low,lateral raise_036.mp4,21,14.289568771494835,45.152772956027626,105.3054771019103,141.8345859930334,1.98389052048026,11.225221592376256,-0.15367059420110843,-0.19314679770382567,44.10322166933001,55.33454747995612,105.33247155138616,143.95000785094518,1.979777795919744,11.23132581062611,-0.1547149121761322,-0.1833484470844268
lateral raise,asymmetric_raise,lateral raise_036.mp4,21,52.46229142483786,46.31885365930174,106.80940471137698,144.29274441332512,1.9791995545078027,29.725807332679665,-0.16210752212796933,-0.18694766812640035,44.10322166933001,55.33454747995612,105.33247155138616,143.95000785094518,1.979777795919744,11.23132581062611,-0.1547149121761322,-0.1833484470844268
lateral raise,arms_too_low,lateral raise_036.mp4,21,15.418111501651712,38.79152528970745,106.01970813052309,140.42392754021972,1.981398215766718,11.229400399224028,-0.158099522177662,-0.18029006564022246,44.10322166933001,55.33454747995612,105.33247155138616,143.95000785094518,1.979777795919744,11.23132581062611,-0.1547149121761322,-0.1833484470844268
lateral raise,elbows_too_bent,lateral raise_036.mp4,24,57.90143200672145,78.52241506791074,79.40547624419386,129.1588307727329,3.381436917155377,20.62345275695772,-0.08341154846410073,-0.09173370148072928,57.89677908471759,78.51902623086238,102.42107365208425,157.42281013608485,3.3781254945872816,20.622247146144787,-0.0825705230236053,-0.0975575447082519
lateral raise,elbows_too_bent,lateral raise_036.mp4,24,57.89555034628046,78.51517789199404,84.5427970734155,139.75777818151542,3.3702547181525615,20.625436910860913,-0.09279263813270489,-0.09221014027726725,57.89677908471759,78.51902623086238,102.42107365208425,157.42281013608485,3.3781254945872816,20.622247146144787,-0.0825705230236053,-0.0975575447082519
lateral raise,arms_too_high,lateral raise_036.mp4,24,75.4266763574212,109.79269173209389,101.19132213324963,158.08859501706272,5.616691446042777,20.620843114687155,-0.08286960934191365,-0.09275167587616012,57.89677908471759,78.51902623086238,102.42107365208425,157.42281013608485,3.3781254945872816,20.622247146144787,-0.0825705230236053,-0.0975575447082519
lateral raise,asymmetric_raise,lateral raise_036.mp4,27,86.93109213832346,72.46346621347001,128.85647518725852,169.50288872137827,4.270439450494416,33.20121719065209,-0.03442418367539898,-0.05894948612315716,74.60317440669098,89.93873556754168,130.43499184465438,168.0154661538358,4.271500257602974,15.335561160850702,-0.036931425333023,-0.0647404193878173
lateral raise,torso_swinging,lateral raise_036.mp4,27,85.88875875697238,101.51130004685754,133.17871611175394,168.36657274174547,14.725057525380087,15.338926788364573,-0.038214576246485776,-0.06657954800848111,74.60317440669098,89.93873556754168,130.43499184465438,168.0154661538358,4.271500257602974,15.335561160850702,-0.036931425333023,-0.0647404193878173
lateral raise,asymmetric_raise,lateral raise_036.mp4,27,95.97184250738876,78.47897221341358,125.12463974952743,168.70650204161333,4.269522675345073,33.88987687850099,-0.034666743700355454,-0.06557072392957262,74.60317440669098,89.93873556754168,130.43499184465438,168.0154661538358,4.271500257602974,15.335561160850702,-0.036931425333023,-0.0647404193878173
lateral raise,arms_too_high,lateral raise_036.mp4,30,103.11628220419594,106.05871911316099,99.44106089639911,145.97156227220964,6.582013262187043,3.0398688317956846,-0.0004871739339669344,-0.006848513789787857,78.24014892429017,81.27773067784226,97.80531387196598,148.08077121114331,3.0986675032235267,3.037581753552089,-0.0001652836799621,-0.0085730254650115
lateral raise,torso_swinging,lateral raise_036.mp4,30,87.83971224752773,90.0708300196212,100.67234484654583,150.21235862824193,2.604871795029971,3.04498339635795,0.010628358936853419,-0.0024141335814309474,78.24014892429017,81.27773067784226,97.80531387196598,148.08077121114331,3.0986675032235267,3.037581753552089,-0.0001652836799621,-0.0085730254650115
lateral raise,arms_too_high,lateral raise_036.mp4,30,101.52555305824063,100.76417699412829,99.26098010029772,146.8426324904334,8.810987164002288,3.037472349180395,0.005924968508820452,-0.01052031558652891,78.24014892429017,81.27773067784226,97.80531387196598,148.08077121114331,3.0986675032235267,3.037581753552089,-0.0001652836799621,-0.0085730254650115
lateral raise,arms_too_high,lateral raise_036.mp4,33,129.25710602500496,102.37516948575761,101.37556170126699,144.0528078825011,8.874093928468774,12.054227220625704,0.02575288003346759,0.038150102339877916,88.78638761758002,76.72740303820107,102.20847442836974,142.33780137932487,2.4378373688193524,12.058984579378944,0.0284336805343627,0.0326674580574035
